Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2017-10-23 00:00:00-04:00,142.10038450975006,142.5870296621807,141.41908426659344,141.67213439941406,2514500,0.0,0,Mastercard Incorporated
2017-10-24 00:00:00-04:00,142.28531383078558,142.57730389615728,141.46775352873016,141.90573120117188,2918400,0.0,0,Mastercard Incorporated
2017-10-25 00:00:00-04:00,142.5870498023526,143.0542250563289,141.3315116662808,142.33399963378906,3439700,0.0,0,Mastercard Incorporated
2017-10-26 00:00:00-04:00,143.07365886805368,143.4337714883212,142.44102618089775,142.6746063232422,2574900,0.0,0,Mastercard Incorporated
2017-10-27 00:00:00-04:00,142.90823736296778,144.5531005859375,142.158799564377,144.5531005859375,3491900,0.0,0,Mastercard Incorporated
2017-10-30 00:00:00-04:00,147.25884179430255,147.43402693926214,144.61149069476022,144.9716033935547,6555700,0.0,0,Mastercard Incorporated
2017-10-31 00:00:00-04:00,146.60672252819046,147.9401254857668,142.24637129467072,144.79640197753906,7613700,0.0,0,Mastercard Incorporated
2017-11-01 00:00:00-04:00,145.94489346234914,147.44376900482283,144.80614546906438,144.9132080078125,4531700,0.0,0,Mastercard Incorporated
2017-11-02 00:00:00-04:00,144.36816347426063,145.22466375884045,143.53113315557562,144.29029846191406,3883600,0.0,0,Mastercard Incorporated
2017-11-03 00:00:00-04:00,144.44602010948853,145.3706429442279,143.76471985500854,145.30250549316406,2338700,0.0,0,Mastercard Incorporated
2017-11-06 00:00:00-05:00,145.2246911628458,146.44130436427585,144.9813685225598,146.0811767578125,3142900,0.0,0,Mastercard Incorporated
2017-11-07 00:00:00-05:00,146.29528591794997,146.46074351315542,144.94241277952068,145.96437072753906,2683400,0.0,0,Mastercard Incorporated
2017-11-08 00:00:00-05:00,145.47772550002875,146.22716330874007,144.24164246380712,145.96437072753906,3786800,0.0,0,Mastercard Incorporated
2017-11-09 00:00:00-05:00,145.28305037963014,145.86701566151368,143.64791491764646,145.30250549316406,2716400,0.0,0,Mastercard Incorporated
2017-11-10 00:00:00-05:00,145.02028233352752,145.75997775603275,144.7380346272872,145.5458526611328,1795900,0.0,0,Mastercard Incorporated
2017-11-13 00:00:00-05:00,144.78669608445034,146.18823684502877,144.76724096644546,145.69186401367188,1750500,0.0,0,Mastercard Incorporated
2017-11-14 00:00:00-05:00,145.29278250047437,146.47047036046652,145.06892987794873,145.94488525390625,3062300,0.0,0,Mastercard Incorporated
2017-11-15 00:00:00-05:00,145.380364158891,145.51662420384278,144.14429619798256,144.36814880371094,3058100,0.0,0,Mastercard Incorporated
2017-11-16 00:00:00-05:00,145.0202499445038,146.51911042281145,144.6309397777626,146.31472778320312,2715400,0.0,0,Mastercard Incorporated
2017-11-17 00:00:00-05:00,145.3414668132375,145.52639437764833,144.31950885549563,145.0397491455078,3186400,0.0,0,Mastercard Incorporated
2017-11-20 00:00:00-05:00,145.37063727203247,146.27579010668822,145.2441047828406,145.56529235839844,2048700,0.0,0,Mastercard Incorporated
2017-11-21 00:00:00-05:00,145.96434218217593,148.55329785052044,145.92540225489944,148.43649291992188,3999000,0.0,0,Mastercard Incorporated
2017-11-22 00:00:00-05:00,148.3392103766268,148.47547045414572,146.91819969572833,147.21018981933594,2658600,0.0,0,Mastercard Incorporated
2017-11-24 00:00:00-05:00,147.35613442317936,148.91340472682782,147.16147934803087,148.6603546142578,1577500,0.0,0,Mastercard Incorporated
2017-11-27 00:00:00-05:00,148.98159708402676,149.8283551412036,148.64093943853211,148.88426208496094,3260200,0.0,0,Mastercard Incorporated
2017-11-28 00:00:00-05:00,149.40977966881087,150.5193299503879,149.26379207303646,150.07162475585938,3874500,0.0,0,Mastercard Incorporated
2017-11-29 00:00:00-05:00,150.22739245203329,150.34418255795634,141.39964061557131,144.3876495361328,7217000,0.0,0,Mastercard Incorporated
2017-11-30 00:00:00-05:00,145.33171089452122,147.13228899133,144.25135809594357,146.45098876953125,6943700,0.0,0,Mastercard Incorporated
2017-12-01 00:00:00-05:00,146.38289198372354,146.95714469204046,143.41436770334948,145.69186401367188,3933000,0.0,0,Mastercard Incorporated
2017-12-04 00:00:00-05:00,145.915673389781,146.56777607911937,139.55036165041366,139.59901428222656,7490100,0.0,0,Mastercard Incorporated
